Date,length.cm,species
01/03/06,5,SeaBass
01/03/06,6,SeaBass
01/03/06,6.5,SeaBass
01/03/06,6.5,SeaBass
01/03/06,7,SeaBass
01/03/06,7,SeaBass
01/03/06,7,SeaBass
01/03/06,7,SeaBass
01/03/06,7,SeaBass
01/03/06,7,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,7.5,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,8.5,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9,SeaBass
01/03/06,9.5,SeaBass
01/03/06,9.5,SeaBass
01/03/06,9.5,SeaBass
01/03/06,9.5,SeaBass
01/03/06,9.5,SeaBass
01/03/06,9.5,SeaBass
01/03/06,10,SeaBass
01/03/06,10,SeaBass
01/03/06,10,SeaBass
01/03/06,10,SeaBass
01/03/06,10.5,SeaBass
01/03/06,10.5,SeaBass
01/03/06,10.5,SeaBass
01/03/06,11,SeaBass
01/03/06,19.5,SeaBass
01/03/06,22.5,SeaBass
29/03/06,7,SeaBass
29/03/06,7,SeaBass
29/03/06,7.5,SeaBass
29/03/06,7.5,SeaBass
29/03/06,7.5,SeaBass
29/03/06,7.5,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8,SeaBass
29/03/06,8.5,SeaBass
29/03/06,8.5,SeaBass
29/03/06,8.5,SeaBass
29/03/06,8.5,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,9.5,SeaBass
29/03/06,10,SeaBass
29/03/06,10,SeaBass
29/03/06,10,SeaBass
29/03/06,10.5,SeaBass
29/03/06,10.5,SeaBass
29/03/06,10.5,SeaBass
29/03/06,11,SeaBass
29/03/06,13,SeaBass
29/03/06,15.5,SeaBass
29/03/06,15.5,SeaBass
29/03/06,22.5,SeaBass
12/04/06,6,SeaBass
12/04/06,6,SeaBass
12/04/06,6,SeaBass
12/04/06,6.5,SeaBass
12/04/06,7,SeaBass
12/04/06,7,SeaBass
12/04/06,7.5,SeaBass
12/04/06,7.5,SeaBass
12/04/06,7.5,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,8.5,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9,SeaBass
12/04/06,9.5,SeaBass
12/04/06,9.5,SeaBass
12/04/06,9.5,SeaBass
12/04/06,9.5,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
12/04/06,10,SeaBass
